Type,STORE ADDRESS,CITY,STATE,ZIP CODE,Latitude,Longitude,Location
Store,6260 W. McGalliard Road (SR332),Muncie,IN,47304,40.221381,-85.458996,"40.221381, -85.458996"
Store,1555 DeMille Road,Lapeer,MI,48446,43.043243,-83.323232,"43.043243, -83.323232"
Store,2301 E. Markland Avenue,Kokomo,IN,46901,40.474323,-86.09881,"40.474323, -86.09881"
Store,4702 Milan Road,Sandusky,OH,44870,41.4111,-82.66354,"41.4111, -82.66354"
Store,8870 Columbus Pike,Lewis Center,OH,43035,40.161024,-83.022785,"40.161024, -83.022785"
Store,2900 Columbus Lancaster Rd. NW,Lancaster,OH,43130,39.749681,-82.655123,"39.749681, -82.655123"
Store,34835 Utica Road,Fraser,MI,48026,42.552081,-82.961021,"42.552081, -82.961021"
Store,2401 N. Prospect Avenue,Champaign,IL,61822,40.1451,-88.260879,"40.1451, -88.260879"
Store,7390 Tylersville Rd.,West Chester,OH,45069,39.354951,-84.375032,"39.354951, -84.375032"
Store,888 Eastgate North Drive,Cincinnati,OH,45245,39.098484,-84.264793,"39.098484, -84.264793"
Store,5150 Franklin St. ,Michigan City,IN,46360,41.675037,-86.890326,"41.675037, -86.890326"
Store,3911 W. State Route 22-3,Loveland,OH,45140,39.111708,-84.434207,"39.111708, -84.434207"
Store,4990 Houston Rd.,Florence,KY,41042,39.011477,-84.638353,"39.011477, -84.638353"
Store,6650 Whitestown Parkway,Zionsville,IN,46077,39.951942,-86.3423,"39.951942, -86.3423"
Store,3820 S. Western Ave.,Marion,IN,46953,40.523384,-85.675423,"40.523384, -85.675423"
Store,8375 E. 96th St.,Indianapolis,IN,46256,39.925644,-86.020437,"39.925644, -86.020437"
Store,2507 Chester Boulevard,Richmond,IN,47374,39.868198,-84.885251,"39.868198, -84.885251"
Store,2111 East Wooster Street,Bowling Green,OH,43402,41.374556,-83.608624,"41.374556, -83.608624"
Store,"1082 State Route 28, Ste. C",Milford,OH,45150,39.196048,-84.23739,"39.196048, -84.23739"
Store,1997 E. Beltline Ave. N.E.,Grand Rapids,MI,49525,42.996608,-85.594432,"42.996608, -85.594432"
Store,6325 S. Gilmore Rd.,Fairfield,OH,45014,39.30414,-84.526523,"39.30414, -84.526523"
Store,4500 S. Hurstbourne Pkwy,Louisville,KY,40299,38.188368,-85.60778,"38.188368, -85.60778"
Store,"2155 Paul Jones Way, Suite 100",Lexington,KY,40509,38.018768,-84.422275,"38.018768, -84.422275"
Store,9905 Dixie Highway,Louisville,KY,40272,38.111935,-85.860769,"38.111935, -85.860769"
Store,4775 24th Avenue,Fort Gratiot,MI,48059,43.046452,-82.46063,"43.046452, -82.46063"
Store,4100 Towne Center Dr.,Louisville,KY,40241,38.299035,-85.553726,"38.299035, -85.553726"
Store,"611 W. Lincoln Hwy, Ste. A",Merrillville,IN,46410,41.47094,-87.341378,"41.47094, -87.341378"
Store,9500 Preston Hwy,Louisville,KY,40229,38.112525,-85.679636,"38.112525, -85.679636"
Store,2750 Allison Lane,Jeffersonville,IN,47130,38.323203,-85.708922,"38.323203, -85.708922"
Store,5400 Alexandria Pike,Cold Spring,KY,41076,38.921584,-84.374584,"38.921584, -84.374584"
Store,225 N. Weber Road,Bolingbrook,IL,60490,41.701353,-88.127303,"41.701353, -88.127303"
Store,10138 Indianapolis Blvd.,Highland,IN,46322,41.528578,-87.473544,"41.528578, -87.473544"
Store,8605 East 34 Road,Cadillac,MI,49601,44.281248,-85.383951,"44.281248, -85.383951"
Store,3883 E. Grand River Ave.,Howell,MI,48843,42.630589,-83.987738,"42.630589, -83.987738"
Store,5645 Jackson Rd.,Ann Arbor,MI,48103,42.285693,-83.840584,"42.285693, -83.840584"
Store,550 Hull Road,Mason,MI,48854,42.565775,-84.443118,"42.565775, -84.443118"
Store,"800 S. US Highway 131, Ste. A",Three Rivers,MI,49093,41.911347,-85.658613,"41.911347, -85.658613"
Store,4200 Conestoga Drive,Springfield,IL,41076,39.740703,-89.702108,"39.740703, -89.702108"
Store,8401 26 Mile Road,Washington ,MI,48094,42.7146,-83.030675,"42.7146, -83.030675"
Store,808 N. Route 59,Aurora,IL,60504,41.767875,-88.209443,"41.767875, -88.209443"
Store,620 East Chicago Rd.,Coldwater,MI,49036,41.937603,-84.959494,"41.937603, -84.959494"
